Date,预测值_全量
2025-10-29,0.11662237
2025-10-30,0.11662237
2025-10-31,0.11662237
2025-11-03,0.11662237
2025-11-04,0.11662237
2025-11-05,0.11662237
2025-11-06,0.11662237
2025-11-07,0.11662237
2025-11-10,0.11662237
2025-11-11,0.11662237
2025-11-12,0.11662237
2025-11-13,0.08176604
2025-11-14,0.08176604
2025-11-17,0.08176604
2025-11-18,0.08176604
2025-11-19,0.08176604
2025-11-20,0.09255327
2025-11-21,0.11662237
2025-11-24,0.08176604
2025-11-25,0.08176604
