Date,中国10年期国债收益率
2025-10-27,1.8477624015132093
2025-10-28,1.849880401513209
2025-10-29,1.8527084015132091
2025-10-30,1.854826401513209
2025-10-31,1.8569444015132093
2025-11-03,1.8590624015132091
2025-11-04,1.861180401513209
2025-11-05,1.8632984015132092
2025-11-06,1.865416401513209
2025-11-07,1.867534401513209
2025-11-10,1.8696524015132092
2025-11-11,1.871770401513209
2025-11-12,1.873888401513209
2025-11-13,1.8556964015132091
2025-11-14,1.8578144015132092
2025-11-17,1.8599324015132093
2025-11-18,1.862050401513209
2025-11-19,1.8641684015132092
2025-11-20,1.8662864015132092
2025-11-21,1.8887144015132091
