Date,美元指数_预测
2025-10-27,98.816232
2025-10-28,99.03903600000001
2025-10-29,98.815032
2025-10-30,98.67076399999999
2025-10-31,98.950736
2025-11-03,98.972868
2025-11-04,98.8889
2025-11-05,98.88306800000001
2025-11-06,98.830568
2025-11-07,98.872804
2025-11-10,98.81853600000001
2025-11-11,98.657036
2025-11-12,98.724636
2025-11-13,98.70393600000001
2025-11-14,98.67963600000002
2025-11-17,
2025-11-18,
2025-11-19,
2025-11-20,
2025-11-21,
