Date,煤柴价差日度_预测
2024-01-31,-423.51837
2024-02-29,-633.00183
2024-03-31,-573.453
2024-04-30,-432.91315
2024-05-31,-417.31836
2024-06-30,-438.19193
2024-07-31,-448.5115
2024-08-31,-458.15738
2024-09-30,-407.37408
2024-10-31,-395.05396
2024-11-30,-360.46075
2024-12-31,-415.15305
2025-01-31,-413.72794
2025-02-28,-532.21466
2025-03-31,-576.9532
2025-04-30,-553.5968
2025-05-31,-488.39267
